blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001177,150010201001177,G15000100201003019,150010201003019,0.0470573768,0.0316992
G15000100201001177,150010201001177,G15000100201003040,150010201003040,0.9529426232,0.9683008
G15000100201001178,150010201001178,G15000100201003040,150010201003040,1,1
G15000100201001179,150010201001179,G15000100201003040,150010201003040,1,1
G15000100201001180,150010201001180,G15000100201003040,150010201003040,1,1
G15000100201001181,150010201001181,G15000100201003019,150010201003019,1,1
G15000100201001182,150010201001182,G15000100201003019,150010201003019,1,1
G15000100201001183,150010201001183,G15000100201003019,150010201003019,1,1
G15000100201001184,150010201001184,G15000100201003019,150010201003019,1,1
G15000100201001185,150010201001185,G15000100201003020,150010201003020,1,1
G15000100201001186,150010201001186,G15000100201003019,150010201003019,1,1
G15000100201001187,150010201001187,G15000100201003022,150010201003022,1,1
G15000100201001188,150010201001188,G15000100201003022,150010201003022,1,1
G15000100201001189,150010201001189,G15000100201003020,150010201003020,1,1
G15000100201001190,150010201001190,G15000100201003020,150010201003020,1,1
G15000100201001191,150010201001191,G15000100201003020,150010201003020,1,1
G15000100201001192,150010201001192,G15000100201003020,150010201003020,1,1
G15000100201001193,150010201001193,G15000100201003020,150010201003020,1,1
G15000100201001194,150010201001194,G15000100201003020,150010201003020,1,1
G15000100201001195,150010201001195,G15000100201003020,150010201003020,1,1
G15000100201001196,150010201001196,G15000100201003020,150010201003020,1,1
G15000100201001197,150010201001197,G15000100201003020,150010201003020,1,1
G15000100201001198,150010201001198,G15000100201003020,150010201003020,1,1
G15000100201001199,150010201001199,G15000100201003038,150010201003038,1,1
G15000100201001200,150010201001200,G15000100201003020,150010201003020,1,1
G15000100201001201,150010201001201,G15000100201003019,150010201003019,1,1
G15000100201001202,150010201001202,G15000100201003019,150010201003019,1,1
G15000100201001203,150010201001203,G15000100201003019,150010201003019,1,1
G15000100201001204,150010201001204,G15000100201003020,150010201003020,1,1
G15000100201001205,150010201001205,G15000100201003020,150010201003020,1,1
G15000100201001206,150010201001206,G15000100201003020,150010201003020,1,1
G15000100201001207,150010201001207,G15000100201003020,150010201003020,1,1
G15000100201001208,150010201001208,G15000100201003066,150010201003066,1,1
G15000100201001209,150010201001209,G15000100201003066,150010201003066,1,1
G15000100201001210,150010201001210,G15000100201003066,150010201003066,1,1
G15000100201001211,150010201001211,G15000100201003066,150010201003066,1,1
G15000100201001212,150010201001212,G15000100201003066,150010201003066,1,1
G15000100201001213,150010201001213,G15000100201003066,150010201003066,1,1
G15000100201001214,150010201001214,G15000100201003065,150010201003065,1,1
G15000100201001215,150010201001215,G15000100201003065,150010201003065,1,1
G15000100201001216,150010201001216,G15000100201003065,150010201003065,1,1
G15000100201001217,150010201001217,G15000100201003066,150010201003066,1,1
G15000100201001218,150010201001218,G15000100201003066,150010201003066,1,1
G15000100201001219,150010201001219,G15000100201003065,150010201003065,1,1
G15000100201001220,150010201001220,G15000100201003065,150010201003065,1,1
G15000100201001221,150010201001221,G15000100201003065,150010201003065,1,1
G15000100201001222,150010201001222,G15000100201003065,150010201003065,1,1
